lp.last_stop.arrival_time,lp.last_stop.departure_time,lp.last_stop.id,lp.last_stop.sequence,lp.next_stop.arrival_time,lp.next_stop.departure_time,lp.next_stop.id,lp.next_stop.sequence,lp.delay.actual,lp.delay.last_stop_arrival,lp.delay.last_stop_departure,lp.bearing,lp.is_canceled,lp.origin_timestamp,lp.shape_dist_traveled,lp.speed,lp.state_position,lp.tracking,pr.gtfs.route_id,pr.gtfs.route_short_name,pr.gtfs.route_type,pr.gtfs.trip_headsign,pr.gtfs.trip_id,pr.gtfs.trip_short_name,pr.vehicle_type.description_cs,pr.vehicle_type.description_en,pr.vehicle_type.id,pr.cis.line_id,pr.cis.trip_number,pr.agency_name,pr.origin_route_name,pr.sequence_id,pr.start_timestamp,pr.vehicle_registration_number,pr.wheelchair_accessible,pr.air_conditioned,coordinates
2023-01-27T15:15:00+01:00,2023-01-27T15:15:00+01:00,U289Z4P,22,2023-01-27T15:15:00+01:00,2023-01-27T15:15:00+01:00,U289Z4P,22,207,207,,278,,2023-01-27T15:18:27+01:00,11.3,,at_stop,True,L15,15,0,Kotlářka,15_4472_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",15,8,2023-01-27T14:39:00+01:00,9378,True,,['14.364' '50.06982']
2023-01-27T15:11:00+01:00,2023-01-27T15:11:00+01:00,U593Z1P,6,2023-01-27T15:12:00+01:00,2023-01-27T15:12:00+01:00,U703Z1P,7,535,535,,182,,2023-01-27T15:19:55+01:00,2.348,,at_stop,True,L17,17,0,Sídliště Modřany,17_15372_230116,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",17,15,2023-01-27T15:04:00+01:00,9133,True,,['14.41767' '50.09215']
2023-01-27T15:17:00+01:00,2023-01-27T15:17:00+01:00,U906Z4P,28,2023-01-27T15:20:00+01:00,2023-01-27T15:20:00+01:00,U126Z3P,29,185,138,185,356,,2023-01-27T15:20:05+01:00,13.639,,on_track,True,L8,8,0,Nádraží Podbaba,8_4611_221123,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",8,9,2023-01-27T14:37:00+01:00,9285,True,,['14.39464' '50.10766']
2023-01-27T15:14:00+01:00,2023-01-27T15:14:00+01:00,U476Z1P,21,2023-01-27T15:16:00+01:00,2023-01-27T15:16:00+01:00,U190Z1P,22,276,229,276,270,,2023-01-27T15:18:36+01:00,8.672,,on_track,True,L22,22,0,Bílá Hora,22_9344_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",22,6,2023-01-27T14:50:00+01:00,8358,False,,['14.436' '50.07501']
2023-01-27T15:19:00+01:00,2023-01-27T15:19:00+01:00,U354Z2P,22,2023-01-27T15:20:00+01:00,2023-01-27T15:20:00+01:00,U301Z2P,23,18,-28,18,120,,2023-01-27T15:19:18+01:00,10.846,,on_track,True,L22,22,0,Nádraží Hostivař,22_8801_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",22,14,2023-01-27T14:44:00+01:00,9311,True,,['14.44149' '50.07307']
2023-01-27T15:13:00+01:00,2023-01-27T15:13:00+01:00,U553Z2P,23,2023-01-27T15:15:00+01:00,2023-01-27T15:15:00+01:00,U458Z2P,24,404,356,,162,,2023-01-27T15:18:56+01:00,11.154,,at_stop,True,L20,20,0,Sídliště Barrandov,20_4943_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",20,11,2023-01-27T14:40:00+01:00,9404,True,,['14.40705' '50.0674']
2023-01-27T15:20:00+01:00,2023-01-27T15:20:00+01:00,U612Z2P,38,2023-01-27T15:20:00+01:00,2023-01-27T15:20:00+01:00,U612Z2P,38,-44,-44,,276,,2023-01-27T15:19:16+01:00,17.044,,at_stop,True,L10,10,0,Sídliště Řepy,10_4731_220901,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",10,6,2023-01-27T14:25:00+01:00,9413,True,,['14.29843' '50.06534']
2023-01-27T15:15:00+01:00,2023-01-27T15:15:00+01:00,U40Z2P,38,2023-01-27T15:16:00+01:00,2023-01-27T15:16:00+01:00,U157Z2P,39,291,291,,261,,2023-01-27T15:19:51+01:00,17.457,,at_stop,True,L26,26,0,Divoká Šárka,26_4344_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",26,3,2023-01-27T14:24:00+01:00,9304,True,,['14.37118' '50.09914']
2023-01-27T15:18:00+01:00,2023-01-27T15:18:00+01:00,U172Z2P,26,2023-01-27T15:20:00+01:00,2023-01-27T15:20:00+01:00,U339Z2P,27,102,93,,99,,2023-01-27T15:19:33+01:00,12.499,,at_stop,True,L9,9,0,Spojovací,9_6989_230103,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",9,14,2023-01-27T14:43:00+01:00,8234,False,,['14.44451' '50.08505']
2023-01-27T15:19:00+01:00,2023-01-27T15:19:00+01:00,U348Z1P,10,2023-01-27T15:20:00+01:00,2023-01-27T15:20:00+01:00,U1075Z1P,11,44,44,,281,,2023-01-27T15:19:44+01:00,3.932,,at_stop,True,L25,25,0,Bílá Hora,25_4661_221227,,tramvaj,tram,2,,,"{'real': 'DP PRAHA', 'scheduled': 'DP PRAHA'}",25,3,2023-01-27T15:09:00+01:00,9320,True,,['14.49403' '50.10293']
